Theoritical theta	Error rate	mu	Execution time
4800.0	1.012629127507051	0.012	1.134
4800.0	0.996456369007203	0.012	1.134
4800.0	1.027372249896415	0.012	1.134
4800.0	0.9772009576441244	0.012	1.134
4800.0	1.0072679920927365	0.012	1.134
4800.0	1.0007452773386543	0.012	1.134
4800.0	1.009099713359294	0.012	1.134
4800.0	1.009457122386915	0.012	1.134
4800.0	0.9926142219602777	0.012	1.134
4800.0	1.006419145652137	0.012	1.134
4800.0	1.0095017985153676	0.012	1.134
4800.0	1.0045874243855797	0.012	1.134
4800.0	0.9836789962697541	0.012	1.134
4800.0	1.0214303248122167	0.012	1.134
4800.0	1.0132545933053876	0.012	1.134
4800.0	0.9959202554657716	0.012	1.134
4800.0	1.0169180358385024	0.012	1.134
4800.0	0.9952054374105296	0.012	1.134
4800.0	1.0277743350524886	0.012	1.134
4800.0	1.0063297933952315	0.012	1.134
4800.0	0.9956075225666033	0.012	1.134
4800.0	0.9801049059935445	0.012	1.134
4800.0	1.0128078320208613	0.012	1.134
4800.0	1.005927708239158	0.012	1.134
4800.0	1.0286231814930882	0.012	1.134
4800.0	1.027372249896415	0.012	1.134
4800.0	0.9824280646730807	0.012	1.134
4800.0	0.9990475844574549	0.012	1.134
4800.0	1.0169180358385024	0.012	1.134
4800.0	1.026076642171289	0.012	1.134
4800.0	1.0096358269007255	0.012	1.134
4800.0	0.9924801935749199	0.012	1.134
4800.0	1.0034258450458116	0.012	1.134
4800.0	0.9876998478304898	0.012	1.134
4800.0	0.99913693671436	0.012	1.134
4800.0	1.0148182578012293	0.012	1.134
4800.0	1.0209388873992378	0.012	1.134
4800.0	1.0113781959103776	0.012	1.134
4800.0	0.9812218092048601	0.012	1.134
4800.0	1.0217877338398378	0.012	1.134
4800.0	0.9795687924521133	0.012	1.134
4800.0	0.9746544183223252	0.012	1.134
4800.0	1.0044533960002215	0.012	1.134
4800.0	0.9841257575542802	0.012	1.134
4800.0	0.9948927045113614	0.012	1.134
4800.0	0.9742523331662517	0.012	1.134
4800.0	1.0212962964268588	0.012	1.134
4800.0	0.9943565909699299	0.012	1.134
4800.0	1.0179009106644599	0.012	1.134
4800.0	1.015890484884092	0.012	1.134
4800.0	1.0246470060608053	0.012	1.134
4800.0	1.0184817003343438	0.012	1.134
4800.0	1.014014087489082	0.012	1.134
4800.0	0.998556147044476	0.012	1.134
4800.0	0.9706335667615895	0.012	1.134
4800.0	1.0045874243855797	0.012	1.134
4800.0	0.9805963434065234	0.012	1.134
4800.0	0.9823387124161755	0.012	1.134
4800.0	1.0055256230830845	0.012	1.134
4800.0	0.998556147044476	0.012	1.134
4800.0	0.9942672387130246	0.012	1.134
8000.0	0.9879500341498244	0.02	2.28
8000.0	0.9827497327979396	0.02	2.28
8000.0	1.0032024644035484	0.02	2.28
8000.0	1.0038994120074092	0.02	2.28
8000.0	0.9872530865459636	0.02	2.28
8000.0	1.0282389667883958	0.02	2.28
8000.0	0.9967691019063714	0.02	2.28
8000.0	0.9874407262854646	0.02	2.28
8000.0	0.987226280868892	0.02	2.28
8000.0	1.0004950910193198	0.02	2.28
8000.0	0.996474239458584	0.02	2.28
8000.0	1.0074377613808567	0.02	2.28
8000.0	1.0064727570062801	0.02	2.28
8000.0	1.0114050015874492	0.02	2.28
8000.0	0.997787717635091	0.02	2.28
8000.0	0.9951071499279339	0.02	2.28
8000.0	0.994597842063574	0.02	2.28
8000.0	0.991783245971059	0.02	2.28
8000.0	1.0053201128922025	0.02	2.28
8000.0	0.9981629971140931	0.02	2.28
8000.0	0.9847601585783075	0.02	2.28
8000.0	1.0101719404421567	0.02	2.28
8000.0	1.0066872024228526	0.02	2.28
8000.0	0.9759410908217605	0.02	2.28
8000.0	0.9954288180527927	0.02	2.28
8000.0	1.00322927008062	0.02	2.28
8000.0	0.9884861476912559	0.02	2.28
8000.0	0.9940617285221426	0.02	2.28
8000.0	1.0109493050772325	0.02	2.28
8000.0	1.003470521174264	0.02	2.28
8000.0	1.0195271217401352	0.02	2.28
8000.0	1.0155330758564711	0.02	2.28
8000.0	1.0254511763729524	0.02	2.28
8000.0	1.0225561632492226	0.02	2.28
8000.0	0.9699634248348002	0.02	2.28
8000.0	1.0142732090341073	0.02	2.28
8000.0	1.020170457989853	0.02	2.28
8000.0	0.9933915865953534	0.02	2.28
8000.0	0.9825352873813671	0.02	2.28
8000.0	1.0071965102872125	0.02	2.28
8000.0	0.9920513027417749	0.02	2.28
8000.0	0.9983238311765223	0.02	2.28
8000.0	1.003041630341119	0.02	2.28
8000.0	1.001165232946109	0.02	2.28
8000.0	0.9770937349358382	0.02	2.28
8000.0	0.9963938224273693	0.02	2.28
8000.0	0.9914347721691287	0.02	2.28
8000.0	0.9806856956634287	0.02	2.28
8000.0	1.0064459513292086	0.02	2.28
8000.0	1.007920263568145	0.02	2.28
8000.0	0.9732605231146034	0.02	2.28
8000.0	0.9996909207071726	0.02	2.28
8000.0	0.9845993245158781	0.02	2.28
8000.0	0.9826961214437965	0.02	2.28
8000.0	0.9878428114415382	0.02	2.28
8000.0	1.0135494557531748	0.02	2.28
8000.0	1.0036313552366936	0.02	2.28
8000.0	1.0203312920522822	0.02	2.28
8000.0	0.9916760232627728	0.02	2.28
8000.0	1.019232259292348	0.02	2.28
8000.0	0.9994764752906	0.02	2.28
8000.0	1.0121019491913101	0.02	2.28
8000.0	1.008778045234435	0.02	2.28
8000.0	1.0078130408598587	0.02	2.28
8000.0	1.0220200497077914	0.02	2.28
8000.0	0.9884861476912559	0.02	2.28
8000.0	1.0243521436130179	0.02	2.28
8000.0	0.9856179402445978	0.02	2.28
8000.0	1.018401283303129	0.02	2.28
8000.0	1.004542748257127	0.02	2.28
8000.0	0.9888346214931863	0.02	2.28
8000.0	0.9960453486254389	0.02	2.28
8000.0	1.0006023137276059	0.02	2.28
8000.0	1.008161514661789	0.02	2.28
8000.0	1.0029076019557612	0.02	2.28
8000.0	0.9999321718008167	0.02	2.28
8000.0	0.9819455624857925	0.02	2.28
8000.0	1.0178115584075547	0.02	2.28
8000.0	0.9941957569075005	0.02	2.28
8000.0	1.0218860213224334	0.02	2.28
8000.0	1.0025591281538306	0.02	2.28
8000.0	0.9876551717020371	0.02	2.28
8000.0	1.0019425975811844	0.02	2.28
8000.0	0.9922121368042042	0.02	2.28
8000.0	1.0166321086164054	0.02	2.28
8000.0	1.0090729076822225	0.02	2.28
8000.0	1.0030148246640473	0.02	2.28
8000.0	1.0066872024228526	0.02	2.28
8000.0	0.9995300866447432	0.02	2.28
8000.0	1.005346918569274	0.02	2.28
8000.0	0.9841436280056614	0.02	2.28
8000.0	1.0125844513785982	0.02	2.28
8000.0	0.9781123506645579	0.02	2.28
8000.0	1.0067140080999242	0.02	2.28
8000.0	0.9961525713337251	0.02	2.28
8000.0	1.0089924906510077	0.02	2.28
8000.0	0.9935524206577828	0.02	2.28
8000.0	0.9876283660249655	0.02	2.28
8000.0	1.0029612133099042	0.02	2.28
8000.0	1.0033632984659777	0.02	2.28
32000.0	0.9967624004871034	0.08	23.335
32000.0	1.0030751374374585	0.08	23.335
32000.0	1.0043081985827507	0.08	23.335
32000.0	1.0101183290880138	0.08	23.335
32000.0	0.9958040975317948	0.08	23.335
32000.0	1.0018152706150947	0.08	23.335
32000.0	0.9872664893844993	0.08	23.335
32000.0	0.9991280014886696	0.08	23.335
32000.0	0.9967959075834428	0.08	23.335
32000.0	0.9933312738219423	0.08	23.335
32000.0	0.9918904686793454	0.08	23.335
32000.0	1.0078666522140018	0.08	23.335
32000.0	1.0050654589600225	0.08	23.335
32000.0	0.9954690265684001	0.08	23.335
32000.0	0.9983640396921298	0.08	23.335
32000.0	1.0147356069635918	0.08	23.335
32000.0	1.0118338924205943	0.08	23.335
32000.0	1.0010647116570905	0.08	23.335
32000.0	0.9941555483918931	0.08	23.335
32000.0	1.0128592095685818	0.08	23.335
32000.0	0.9938874916211774	0.08	23.335
32000.0	0.9982903240801829	0.08	23.335
32000.0	1.0092069360675802	0.08	23.335
32000.0	1.0096224240621896	0.08	23.335
32000.0	0.9971041728697659	0.08	23.335
32000.0	0.9922657481583473	0.08	23.335
32000.0	0.9979954616323957	0.08	23.335
32000.0	1.0023312798987223	0.08	23.335
32000.0	1.0155866872106143	0.08	23.335
32000.0	1.0005956123083382	0.08	23.335
32000.0	1.0059969562382598	0.08	23.335
32000.0	0.9968160118412466	0.08	23.335
32000.0	0.996226286945672	0.08	23.335
32000.0	0.9986387978821134	0.08	23.335
32000.0	0.997794419054359	0.08	23.335
32000.0	0.9964943437163877	0.08	23.335
32000.0	1.0001935271522646	0.08	23.335
32000.0	0.9892836165841351	0.08	23.335
32000.0	0.988164479566397	0.08	23.335
32000.0	1.0070758847403904	0.08	23.335
32000.0	0.9973320211248744	0.08	23.335
32000.0	0.9973588268019459	0.08	23.335
32000.0	0.9943029796157867	0.08	23.335
32000.0	0.9981562956948251	0.08	23.335
32000.0	0.996856220356854	0.08	23.335
32000.0	0.9946246477406456	0.08	23.335
32000.0	1.0071965102872125	0.08	23.335
32000.0	0.9919306771949528	0.08	23.335
32000.0	1.0022508628675075	0.08	23.335
32000.0	1.004281392905679	0.08	23.335
32000.0	0.9985449780123629	0.08	23.335
32000.0	1.0022575642867755	0.08	23.335
32000.0	1.0013126641700028	0.08	23.335
32000.0	0.9890155598134194	0.08	23.335
32000.0	1.0071630031908732	0.08	23.335
32000.0	0.9881711809856649	0.08	23.335
32000.0	0.9965144479741914	0.08	23.335
32000.0	1.0067207095191921	0.08	23.335
32000.0	1.0054206341812209	0.08	23.335
32000.0	0.9980021630516636	0.08	23.335
